# Spin code

# Parameters:
# Hamiltonian: XXZ hamiltonian with full Hilbert space
# t = -0.500000
# delta = 1.000000
# alpha = 0.000000
# sites = 8
# support = 3
# O+O^+
# commutes = 0
# translational symmetry = 1
# flip = 0
#Hamiltonian diagonalized.
1   1 100
2   1 110
3   1 210
4   1 120
5   1 101
6   1 201
7   1 111
8   1 211
9   1 311
10   1 121
11   1 221
12   1 131
13   1 331
14   1 102
15   1 112
16   1 212
17   1 122
#17 operators generated.
#Cleared eigenvalues and eigenvectors.
#Correlation matrix eigenvalues: 
-3.48065755852961e-17
1.15496565218154e-16
2.61529632790224e-16
0.11109050754295
0.11109050754295
0.261849872911323
0.278539225095979
0.278539225095979
0.278539225095979
0.290893531359061
0.290893531359062
0.372637525595852
0.39263985839589
0.490566982742885
0.64203722149582
0.642037221495821
1
#5 eigenvectors corresponding to largest eigenvalues: 
  1                1                    0                    0                    0                    0    
  2                0         0.5646654411        -0.4067122899                    0                    0    
  3                0        -0.2875890182        -0.3992787625                    0         0.6031546601    
  4                0        -0.2875890182        -0.3992787625                    0        -0.6031546601    
  5                0          0.582727649        -0.4197219792                    0                    0    
  6                0        -0.2967882577        -0.4120506722                    0         0.3690588788    
  7                0                    0                    0                    0                    0    
  8                0                    0                    0                    0                    0    
  9                0                    0                    0        -0.2000912923     -2.447237939e-15    
 10                0                    0                    0                    0                    0    
 11                0                    0                    0        -0.3842749312                    0    
 12                0                    0                    0        -0.7685498625                    0    
 13                0                    0                    0        -0.2000912923     -2.184894717e-15    
 14                0        -0.2967882577        -0.4120506722                    0        -0.3690588788    
 15                0                    0                    0                    0                    0    
 16                0                    0                    0          0.184183639     -2.718921207e-15    
 17                0                    0                    0        -0.3842749312                    0    
# Saving operator with lambda = 1 for alpha -0.1
# lambda test = 1
# Saving operator with lambda = 1 for alpha -0.2
# lambda test = 1
# Saving operator with lambda = 1 for alpha -0.3
# lambda test = 1
# Saving operator with lambda = 1 for alpha -0.4
# lambda test = 1
# Saving operator with lambda = 1 for alpha -0.5
# lambda test = 1
Executed in 1.25 seconds
